Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A comparative study of GPU programming models and architectures using neural networks","The Journal of Supercomputing","","61","3","10.1007/s11227-011-0631-3","Vivek K. PallipuramMohammad BhuiyanMelissa C. Smith","2012","http://link.springer.com/article/10.1007/s11227-011-0631-3","Article"
"Extension of the DVM parallel programming model for clusters with heterogeneous nodes","Doklady Mathematics","","84","3","10.1134/S1064562411060408","V. A. BakhtinV. A. KryukovB. N. ChetverushkinE. V. Shil’nikov","2011","http://link.springer.com/article/10.1134/S1064562411060408","Article"
"Parallel programming models for heterogeneous many-cores: a comprehensive survey","CCF Transactions on High Performance Computing","","2","4","10.1007/s42514-020-00039-4","Jianbin FangChun HuangTao TangZheng Wang","2020","http://link.springer.com/article/10.1007/s42514-020-00039-4","Article"
"MapReduce Parallel Programming Model: A State-of-the-Art Survey","International Journal of Parallel Programming","","44","4","10.1007/s10766-015-0395-0","Ren LiHaibo HuHeng LiYunsong WuJianxi Yang","2016","http://link.springer.com/article/10.1007/s10766-015-0395-0","Article"
"Exploring the interoperability of remote GPGPU virtualization using rCUDA and directive-based programming models","The Journal of Supercomputing","","74","11","10.1007/s11227-016-1791-y","Adrián CastellóAntonio J. PeñaRafael MayoJudit PlanasEnrique S. Quintana-OrtíPavan Balaji","2018","http://link.springer.com/article/10.1007/s11227-016-1791-y","Article"
"Porting and scaling OpenACC applications on massively-parallel, GPU-accelerated supercomputers","The European Physical Journal Special Topics","","210","1","10.1140/epjst/e2012-01634-y","A. HartR. AnsaloniA. Gray","2012","http://link.springer.com/article/10.1140/epjst/e2012-01634-y","Article"
"Providing Source Code Level Portability Between CPU and GPU with MapCG","Journal of Computer Science and Technology","","27","1","10.1007/s11390-012-1205-4","Chun-Tao HongDe-Hao ChenYu-Bei ChenWen-Guang ChenWei-Min ZhengHai-Bo Lin","2012","http://link.springer.com/article/10.1007/s11390-012-1205-4","Article"
"Efficiency and productivity for decision making on low-power heterogeneous CPU+GPU SoCs","The Journal of Supercomputing","","77","1","10.1007/s11227-020-03257-3","Denisa-Andreea ConstantinescuAngeles NavarroFrancisco CorberaJuan-Antonio Fernández-MadrigalRafael Asenjo","2021","http://link.springer.com/article/10.1007/s11227-020-03257-3","Article"
"Accelerating incompressible flow computations with a Pthreads-CUDA implementation on small-footprint multi-GPU platforms","The Journal of Supercomputing","","59","2","10.1007/s11227-010-0468-1","Julien C. ThibaultInanc Senocak","2012","http://link.springer.com/article/10.1007/s11227-010-0468-1","Article"
"Panda: A Compiler Framework for Concurrent CPU
                
                  
                
                $$+$$
                
                  
                    +
                  
                
              GPU Execution of 3D Stencil Computations on GPU-accelerated Supercomputers","International Journal of Parallel Programming","","45","3","10.1007/s10766-016-0454-1","Mohammed SourouriScott B. BadenXing Cai","2017","http://link.springer.com/article/10.1007/s10766-016-0454-1","Article"
"CUDA-Zero: a framework for porting shared memory GPU applications to multi-GPUs","Science China Information Sciences","","55","3","10.1007/s11432-011-4497-z","DeHao ChenWenGuang ChenWeiMin Zheng","2012","http://link.springer.com/article/10.1007/s11432-011-4497-z","Article"
"Optimizing Linpack Benchmark on GPU-Accelerated Petascale Supercomputer","Journal of Computer Science and Technology","","26","5","10.1007/s11390-011-0184-1","Feng WangCan-Qun YangYun-Fei DuJuan ChenHui-Zhan YiWei-Xia Xu","2011","http://link.springer.com/article/10.1007/s11390-011-0184-1","Article"
"Parallel optimization of three-dimensional wedge-shaped underwater acoustic propagation based on MPI+OpenMP hybrid programming model","The Journal of Supercomputing","","77","5","10.1007/s11227-020-03466-w","Zijie ZhuYongxian WangXiaoqian ZhuWei LiuQiang LanWenbin XiaoXinghua Cheng","2021","http://link.springer.com/article/10.1007/s11227-020-03466-w","Article"
